Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,11.413900,11.585800,11.193000,11.465500,2.783547,235369
2000-01-04,11.499800,11.499800,10.751200,10.800300,2.622052,159097
2000-01-05,10.677600,11.291200,10.554800,11.045700,2.681630,535014
2000-01-06,11.168500,11.413900,10.886200,11.413900,2.771021,215558
2000-01-07,11.413900,11.843500,11.413900,11.782100,2.860411,373860
2000-01-10,11.904900,12.270600,11.291200,11.291200,2.741232,384929
2000-01-11,11.661800,11.968700,11.566100,11.782100,2.860411,454394
2000-01-12,12.027600,12.039900,11.001600,11.536700,2.800833,1123148
2000-01-13,11.656900,11.656900,11.193000,11.413900,2.771021,172696
2000-01-14,11.536700,11.656900,11.291200,11.291200,2.741232,176517
2000-01-17,11.757600,11.757600,11.487600,11.534200,2.800226,287700
2000-01-18,11.536700,11.679000,11.340300,11.411500,2.770438,450687
2000-01-19,11.426200,11.929400,11.318200,11.450800,2.779978,549354
2000-01-20,11.600500,11.654500,11.291200,11.291200,2.741232,427701
2000-01-21,11.315800,11.487600,11.291200,11.291200,2.741232,308664
2000-01-24,11.475300,11.499800,11.045700,11.045700,2.681630,470181
2000-01-25,11.045700,11.242100,10.579400,10.579400,2.568424,379999
2000-01-26,11.045700,11.099700,10.849400,11.094800,2.693551,636753
2000-01-27,11.070300,11.266700,11.045700,11.045700,2.681630,310502
2000-01-28,11.168500,11.217600,10.999100,11.045700,2.681630,121852
2000-01-31,11.266700,11.266700,10.702100,10.702100,2.598212,215741
2000-02-01,10.751200,11.023700,10.603900,11.023700,2.676290,228191
2000-02-02,10.947600,11.045700,10.800300,11.045700,2.681630,101886
2000-02-03,11.045700,11.045700,10.677600,10.873900,2.639921,208966
2000-02-04,10.861700,11.033500,10.726600,10.923000,2.651842,717943
2000-02-07,11.021200,11.512100,10.873900,11.512100,2.794861,341024
2000-02-08,11.548900,11.548900,10.923000,10.923000,2.651842,494792
2000-02-09,11.094800,11.261800,11.045700,11.045700,2.681630,6604
2000-02-10,11.094800,11.978500,11.094800,11.291200,2.741232,5511024
2000-02-11,11.413900,11.708500,11.143900,11.291200,2.741232,1089795
2000-02-14,11.634800,11.634800,11.438500,11.598000,2.815715,555160
2000-02-15,11.634800,11.656900,10.800300,10.800300,2.622052,565210
2000-02-16,11.045700,11.151300,10.775700,10.849400,2.633973,922469
2000-02-17,11.045700,11.126700,10.972100,11.045700,2.681630,802788
2000-02-18,11.291200,11.291200,10.702100,10.788000,2.619068,408802
2000-02-21,10.677600,10.849400,10.476300,10.481200,2.544584,547513
2000-02-22,10.346200,10.547500,9.842980,10.333900,2.508822,919283
2000-02-23,10.530300,10.702100,10.432100,10.554800,2.562451,386045
2000-02-24,10.603900,11.291200,10.535200,11.283800,2.739435,1386836
2000-02-25,11.291200,11.291200,10.530300,10.554800,2.562451,1269905
2000-02-28,11.045700,11.045700,10.554800,10.616200,2.577358,555787
2000-02-29,10.677600,10.773300,10.621100,10.726600,2.604160,324948
2000-03-01,10.923000,10.923000,10.554800,10.579400,2.568424,1265232
2000-03-02,10.677600,10.751200,10.481200,10.481200,2.544584,823858
2000-03-03,10.775700,10.849400,10.481200,10.800300,2.622052,709649
2000-03-06,10.873900,11.008900,10.802700,10.910700,2.648855,373840
2000-03-07,10.923000,10.923000,10.628500,10.677600,2.592264,404969
2000-03-08,10.677600,10.824800,10.579400,10.579400,2.568424,413137
2000-03-09,10.800300,10.849400,10.702100,10.800300,2.622052,1172952
2000-03-10,10.800300,10.824800,10.741400,10.800300,2.622052,489434
2000-03-13,10.800300,10.800300,10.567100,10.591600,2.571386,835188
2000-03-14,10.567100,10.724200,9.941170,10.113000,2.455193,1084820
2000-03-15,9.958350,9.958350,9.425700,9.499340,2.306211,779839
2000-03-16,9.693250,10.449300,9.624520,10.309400,2.502874,1071743
2000-03-17,10.554800,11.082600,10.456600,10.849400,2.633973,1631783
2000-03-20,11.021200,11.291200,10.923000,11.239700,2.728729,579640
2000-03-21,11.291200,11.291200,11.045700,11.168500,2.711443,553473
2000-03-22,10.925500,11.166000,10.677600,10.898500,2.645894,235361
2000-03-23,10.800300,10.923000,10.309400,10.468900,2.541597,184433
2000-03-24,10.309400,10.481200,10.137500,10.358400,2.514771,409328
2000-03-27,10.432100,10.579400,10.125300,10.125300,2.458179,167245
2000-03-28,10.186600,10.309400,10.137500,10.137500,2.461141,333458
2000-03-29,10.137500,10.186600,9.779160,9.830710,2.386660,717719
2000-03-30,9.842980,10.014800,9.793890,9.818440,2.383680,237207
2000-03-31,9.818440,9.977990,9.796350,9.796350,2.378318,912715
2000-04-03,10.039300,10.179300,9.818440,10.100700,2.452207,162392
2000-04-04,10.186600,11.045700,10.039300,11.045700,2.681630,444234
2000-04-05,10.444400,11.040800,10.309400,11.040800,2.680441,672628
2000-04-06,10.635800,10.952500,10.432100,10.530300,2.556504,1076460
2000-04-07,10.358400,10.677600,10.346200,10.554800,2.562451,322752
2000-04-10,10.370700,10.677600,10.370700,10.677600,2.592264,250749
2000-04-11,10.486100,10.554800,9.914170,9.990260,2.425395,336921
2000-04-12,10.063900,10.306900,10.039300,10.186600,2.473061,333752
2000-04-13,10.063900,10.395300,10.063900,10.309400,2.502874,110783
2000-04-14,10.297100,10.675100,10.186600,10.314300,2.504063,257035
2000-04-17,9.938710,10.014800,9.793890,9.933800,2.411687,395472
2000-04-18,9.977990,10.184200,9.818440,10.117900,2.456383,362982
2000-04-19,10.063900,10.186600,9.990260,10.063900,2.443273,664342
2000-04-20,10.211200,10.306900,10.039300,10.306900,2.502267,99001
2000-04-21,2.576730,2.576730,2.576730,10.306900,2.502267,0
2000-04-24,2.576730,2.576730,2.576730,10.306900,2.502267,0
2000-04-25,10.427200,10.677600,10.333900,10.677600,2.592264,172887
2000-04-26,10.677600,10.824800,10.441900,10.800300,2.622052,204733
2000-04-27,10.677600,10.775700,10.554800,10.726600,2.604160,78033
2000-04-28,10.726600,10.726600,10.483600,10.554800,2.562451,153365
2000-05-01,2.638710,2.638710,2.638710,10.554800,2.562451,0
2000-05-02,10.508200,10.800300,10.336400,10.702100,2.598212,231927
2000-05-03,10.645600,10.861700,10.395300,10.861700,2.636959,133398
2000-05-04,10.861700,10.861700,10.586700,10.775700,2.616080,109720
2000-05-05,10.775700,10.800300,10.589200,10.751200,2.610132,103018
2000-05-08,10.812500,10.871500,10.709500,10.709500,2.600009,68642
2000-05-09,10.800300,10.849400,10.554800,10.616200,2.577358,124069
2000-05-10,10.800300,10.923000,10.557300,10.923000,2.651842,187598
2000-05-11,10.871500,10.873900,10.628500,10.869000,2.638732,68809
2000-05-12,10.873900,10.996600,10.581800,10.996600,2.669710,143400
2000-05-15,10.996600,11.008900,10.476300,10.476300,2.543394,198386
2000-05-16,10.748700,10.748700,10.186600,10.186600,2.473061,400479
2000-05-17,10.554800,10.751200,10.402600,10.751200,2.610132,85089
2000-05-18,10.726600,10.800300,10.692300,10.800300,2.622052,147930
2000-05-19,10.709500,10.873900,10.557300,10.677600,2.592264,289105
2000-05-22,10.559700,10.689800,10.407500,10.554800,2.562451,226093
2000-05-23,10.407500,10.567100,10.235700,10.549900,2.561262,106001
2000-05-24,10.213600,10.432100,10.213600,10.358400,2.514771,151539
2000-05-25,10.407500,11.119400,10.407500,11.045700,2.681630,550996
2000-05-26,11.168500,11.536700,11.070300,11.413900,2.771021,975035
2000-05-29,11.647100,11.769800,11.536700,11.600500,2.816322,773484
2000-05-30,11.671700,11.683900,11.499800,11.585800,2.812754,1015819
2000-05-31,11.585800,11.607900,11.426200,11.583300,2.812147,1355678
2000-06-01,11.497400,11.536700,11.416400,11.440900,2.777576,49588
2000-06-02,11.536700,11.536700,11.072700,11.438500,2.776993,231890
2000-06-05,11.413900,11.531700,11.291200,11.413900,2.771021,162376
2000-06-06,11.487600,11.521900,11.291200,11.475300,2.785927,284933
2000-06-07,11.291200,11.413900,11.217600,11.291200,2.741232,236473
2000-06-08,11.389400,11.413900,11.291200,11.369800,2.760313,200887
2000-06-09,11.364800,11.401700,11.291200,11.315800,2.747205,71519
2000-06-12,2.828940,2.828940,2.828940,11.315800,2.747205,0
2000-06-13,11.340300,11.340300,11.151300,11.266700,2.735284,236689
2000-06-14,11.242100,11.242100,10.996600,11.067800,2.686995,439056
2000-06-15,11.045700,11.045700,10.824800,11.045700,2.681630,430284
2000-06-16,11.045700,11.141500,10.886200,11.141500,2.704888,175580
2000-06-19,11.045700,11.193000,11.045700,11.131600,2.702485,153454
2000-06-20,11.143900,11.288700,10.964700,11.242100,2.729311,250871
2000-06-21,10.851800,11.487600,10.851800,11.487600,2.788913,403604
2000-06-22,11.119400,11.524400,11.119400,11.487600,2.788913,382012
2000-06-23,11.413900,11.487600,11.094800,11.168500,2.711443,354174
2000-06-26,11.168500,11.229800,10.923000,11.131600,2.702485,142552
2000-06-27,10.775700,10.996600,10.746300,10.775700,3.055222,194173
2000-06-28,10.800300,10.849400,10.714400,10.775700,3.055222,803130
2000-06-29,10.800300,10.898500,10.554800,10.677600,3.027408,884145
2000-06-30,10.579400,10.898500,10.579400,10.677600,3.027408,280676
2000-07-03,10.702100,10.800300,10.677600,10.677600,3.027408,183870
2000-07-04,10.785600,11.035900,10.689800,10.935300,3.100474,722388
2000-07-05,11.045700,11.634800,11.045700,11.634800,3.298803,569960
2000-07-06,11.659400,11.708500,11.335400,11.436000,3.242438,353193
2000-07-07,11.436000,11.602900,11.428700,11.529300,3.268889,696449
2000-07-10,11.536700,11.875400,11.529300,11.745300,3.330133,1688627
2000-07-11,11.745300,11.782100,11.539100,11.733000,3.326646,333524
2000-07-12,11.782100,12.118400,11.745300,12.113500,3.434528,1378940
2000-07-13,3.028370,3.028370,3.028370,12.113500,3.434528,0
2000-07-14,3.028370,3.028370,3.028370,12.113500,3.434528,0
2000-07-17,3.028370,3.028370,3.028370,12.113500,3.434528,0
2000-07-18,11.340300,11.769800,11.315800,11.745300,3.330133,4027753
2000-07-19,11.708500,11.708500,11.070300,11.266700,3.194436,853240
2000-07-20,11.340300,11.769800,11.315800,11.769800,3.337080,951883
2000-07-21,11.757600,11.757600,11.315800,11.512100,3.264014,687168
2000-07-24,11.632400,11.720800,11.367300,11.367300,3.222959,803431
2000-07-25,11.647100,11.647100,11.315800,11.315800,3.208356,915074
2000-07-26,11.536700,11.634800,11.315800,11.561200,3.277934,319766
2000-07-27,11.536700,11.644700,11.497400,11.561200,3.277934,245436
2000-07-28,11.585800,11.585800,11.291200,11.413900,3.236171,531673
2000-07-31,11.536700,11.536700,11.301000,11.337800,3.214595,452683
2000-08-01,11.436000,11.436000,11.224900,11.227400,3.183293,324267
2000-08-02,11.291200,11.411500,11.232300,11.291200,3.201382,436876
2000-08-03,11.291200,11.352600,11.264200,11.340300,3.215303,812952
2000-08-04,11.352600,11.475300,11.315800,11.475300,3.253580,578943
2000-08-07,11.475300,11.524400,11.389400,11.463000,3.250092,264869
2000-08-08,11.475300,11.521900,11.413900,11.521900,3.266792,536517
2000-08-09,11.534200,11.659400,11.418800,11.598000,3.288368,790118
2000-08-10,11.598000,11.880300,11.561200,11.880300,3.368408,1122794
2000-08-11,11.880300,11.880300,11.733000,11.799300,3.345443,147987
2000-08-14,11.880300,11.880300,11.760000,11.782100,3.340566,389826
